Column 1,item_id,stem,option_a,fb_a,option_b,fb_b,option_c,fb_c,option_d,fb_d,correct,rationale,rationale_img,subject,topic,difficulty,marks,instant_id,timed_id
,GP-S3-5,A public health initiative is launched to create safer walking and cycling paths in a city. This effort is an example of which primary goal of health promotion?,Treat diseases,"Incorrect – treatment addresses illness, not prevention.",Improve individual and community well-being,Correct – focuses on prevention and empowering healthier living.,Fund hospitals,Incorrect – financing is not health promotion.,,,B,Health promotion empowers communities to adopt behaviors that improve health and prevent disease.,,PHN,Public/community health,Easy,,GP-F-I5,GP-F-T3
,GP-S3-6,Which is a common sign of hypoglycemia?,Dry skin,Incorrect – more typical of dehydration.,Sweating and confusion,Correct – adrenergic and neuroglycopenic features of low blood sugar.,Bradycardia,Incorrect – not a typical sign of hypoglycemia.,,,B,"Hypoglycemia manifests with tremors, sweating, palpitations, and confusion; early recognition is critical.",,MED,Medicine,Moderate,,GP-F-I5,GP-F-T3
,GP-S3-7,What is triage in emergency nursing?,Providing medication,"Incorrect – part of treatment, not triage.",Prioritizing patients based on urgency,Correct – determines order of care according to severity.,Discharging stable clients,"Incorrect – done after care, not triage.",,,B,Triage ensures critically ill or unstable patients are managed first to save lives.,,FUND,Fundamentals,Easy,,GP-F-I5,GP-F-T3
,GP-S3-8,"When using the nursing process, what is the first step?",Implementation,Incorrect – occurs after diagnosis and planning.,Assessment,Correct – foundation for accurate diagnosis and care planning.,Diagnosis,Incorrect – comes after assessment.,,,B,Assessment collects subjective and objective data; all other nursing actions depend on it.,,FUND,Fundamentals,Easy,,GP-F-I5,GP-F-T3
,GP-S3-9,Which of the following is a subjective symptom?,Blood pressure,"Incorrect – measurable, objective data.",Nausea,"Correct – reported by the patient, not directly measurable.",Cyanosis,Incorrect – observable clinical sign.,,,B,"Subjective data are patient-reported experiences (pain, nausea, dizziness). Objective signs are measurable.",,FUND,Fundamentals,Easy,,GP-F-I5,GP-F-T3
,GP-S3-10,What is the normal adult pulse rate per minute?,30–50,"Incorrect – bradycardic range, too low for normal.",60–100,Correct – standard adult resting heart rate.,110–130,Incorrect – tachycardic range.,,,B,Normal adult pulse is 60–100 bpm at rest; deviations indicate arrhythmia or pathology.,,FUND,Fundamentals,Easy,,GP-F-I5,GP-F-T3
,GP-S3-11,The most effective way to prevent hospital-acquired infections is:,Wearing gloves always,Incorrect – gloves help but do not replace hygiene.,Practicing proper hand hygiene,Correct – most important infection prevention method.,Isolating all patients,Incorrect – impractical and unnecessary.,,,B,Handwashing interrupts transmission more effectively than any single intervention.,,FUND,Fundamentals,Easy,,GP-F-I5,GP-F-T3
,GP-S3-12,What is the nurse’s role during informed consent?,Give detailed procedure explanation,Incorrect – this is the doctor’s responsibility.,Ensure the patient signs voluntarily,Correct – nurse witnesses and ensures understanding/voluntariness.,Decide the best treatment,Incorrect – treatment decision is medical and patient-driven.,,,B,"The nurse acts as witness and advocate, confirming consent is informed and voluntary.",,FUND,Fundamentals,Moderate,,GP-F-I5,GP-F-T3
,GP-S3-13,What is the correct angle for intramuscular injection in adults?,15°,Incorrect – intradermal angle.,90°,Correct – IM injections are given at 90° for deep muscle penetration.,30°,"Incorrect – used for shallow injections, not IM.",,,B,IM injections require perpendicular needle entry for optimal absorption and safety.,,FUND,Fundamentals,Easy,,GP-F-I5,GP-F-T3
,GP-S3-14,What is the antidote for paracetamol overdose?,Activated charcoal,Incorrect – helpful early but not the true antidote.,N-acetylcysteine,Correct – prevents liver injury by replenishing glutathione.,Atropine,"Incorrect – used for cholinergic toxicity, not paracetamol.",,,B,"N-acetylcysteine is the antidote for acetaminophen toxicity, given orally or IV.",,PHARM,PHARM,Hard,,GP-F-I5,GP-F-T3
,GP-S3-15,Which nursing diagnosis is most appropriate for a confused elderly patient?,Acute pain,Incorrect – not universal in confusion.,Risk for injury,"Correct – confusion predisposes to falls, accidents, and harm.",Ineffective airway clearance,Incorrect – unrelated to confusion unless additional condition.,,,B,"Confusion increases fall/self-harm risk, so safety-focused diagnoses are most relevant.",,FUND,Fundamentals,Moderate,,GP-F-I5,GP-F-T3
,GP-S3-16,What does the Glasgow Coma Scale assess?,Reflexes,Incorrect – not measured by GCS.,Level of consciousness,"Correct – evaluates eye, verbal, and motor responses.",Oxygen saturation,Incorrect – assessed via pulse oximetry.,,,B,GCS provides standardized assessment of consciousness in trauma and neurological patients.,,MED,Medicine,Easy,,GP-F-I5,GP-F-T3
,GP-S3-17,What action should a nurse take if a fire breaks out in a ward?,Call the fire service immediately,Incorrect – call comes after patient safety.,Remove patients from danger first,Correct – R.A.C.E principle: Rescue before Alarm/Contain/Extinguish.,Document the event,Incorrect – done after emergency resolved.,,,B,Fire protocols prioritize rescuing patients before calling fire services or documentation.,,FUND,Fundamentals,Moderate,,GP-F-I5,GP-F-T3
,GP-S3-18,What is the best site for taking core temperature?,Oral,"Incorrect – affected by food, speech, oxygen use.",Rectal,Correct – most accurate reflection of core body temp.,Axillary,Incorrect – least accurate of common sites.,,,B,Rectal temps best reflect core temp; oral/axillary are less accurate due to environment.,,FUND,Fundamentals,Easy,,GP-F-I5,GP-F-T3
,GP-S3-19,"What does ""PRN"" on a medication chart mean?",Twice a day,Incorrect – that’s BID.,As needed,Correct – pro re nata = given when necessary.,Every morning,Incorrect – that’s QAM.,,,B,"PRN orders are administered based on patient need, not fixed schedule.",,PHARM,PHARM,Easy,,GP-F-I5,GP-F-T3
,GP-S3-20,Which blood group is considered the universal donor?,O negative,"Correct – no antigens, safe in emergencies.",AB positive,"Incorrect – universal recipient, not donor.",A positive,Incorrect – cannot be given to all.,,,A,,,,,,,GP-F-I5,GP-F-T3
,GP-S3-21,What is the expected urine output per hour in a healthy adult?,10–20 ml,Incorrect – too low; indicates oliguria/renal compromise.,30–50 ml,Correct – accepted normal urine output.,60–100 ml,Incorrect – higher volumes may indicate diuresis.,,,B,Healthy adults excrete about 0.5–1 ml/kg/hr; <30 ml/hr suggests renal dysfunction or hypoperfusion.,,MED – Renal Nursing,Medicine: Renal Nursing,Easy,,GP-F-I5,GP-F-T3
,GP-S3-22,What is the primary concern when restraining a patient?,Cost,Incorrect – cost is not the main issue.,Safety and dignity,Correct – restraints are used only when necessary and with respect.,Staff convenience,Incorrect – restraints are never for staff comfort.,,,B,"Use of restraints must prioritize patient safety, prevent harm, and uphold dignity while meeting ethical/legal standards.",,MHN – Ethics,Mental Health: Ethicsics,Moderate,,GP-F-I5,GP-F-T3
,GP-S3-23,Which vitamin is essential for clotting?,Vitamin C,Incorrect – aids wound healing but not clotting.,Vitamin K,"Correct – necessary for hepatic synthesis of clotting factors II, VII, IX, X.",Vitamin B12,"Incorrect – supports RBC production, not coagulation.",,,B,Vitamin K is critical for coagulation factor synthesis; deficiency causes bleeding disorders.,,NUTR – Biochemistry,Nutrition: Biochemistry,Easy,,GP-F-I5,GP-F-T3
,GP-S3-24,A patient with TB should be placed in:,Airborne isolation,Correct – TB spreads via droplet nuclei requiring N95 mask/negative-pressure room.,Contact precautions,Incorrect – used for direct-touch spread like MRSA.,Protective isolation,Incorrect – used for immunocompromised patients.,,,A,TB requires airborne precautions to prevent transmission; surgical masks are insufficient for staff protection.,,PHN – Communicable Disease,Public/community health: Communicable Disease,Moderate,,GP-F-I5,GP-F-T3
,GP-S3-25,What is the normal adult blood pressure range?,80/50 mmHg,Incorrect – hypotensive.,90/60 to 120/80 mmHg,Correct – accepted normal range.,140/90 mmHg,Incorrect – threshold for hypertension.,,,B,Normal BP is 90/60–120/80 mmHg; values outside suggest hypo- or hypertension.,,FUND – Vital Signs,Fundamentals: Vital Signs,Easy,,GP-F-I5,GP-F-T3
,GP-S3-26,Best response to a patient reporting pain?,Distract them,Incorrect – invalidates the pain experience.,Believe their report and assess further,Correct – pain is subjective and must be validated and evaluated.,Avoid medication,Incorrect – neglects evidence-based management.,,,B,"Pain assessment is based on patient self-report; nurses validate, assess, and manage pain holistically.",,FUND – Pain Management,Fundamentals: Pain Management,Easy,,GP-F-I5,GP-F-T3
,GP-S3-27,What is the meaning of palliative care?,Preventive care,Incorrect – focuses on prevention before illness.,Comfort care for chronic/terminal conditions,"Correct – aims at symptom relief, dignity, and quality of life.",Surgical care,"Incorrect – relates to interventions, not palliation.",,,B,"Palliative care supports patients/families with life-limiting illness, focusing on comfort rather than cure.",,FUND – End-of-Life Care,Fundamentals: End-of-Life Care,Moderate,,GP-F-I5,GP-F-T3
,GP-S3-28,A pulse oximeter measures:,Heart rate,Incorrect – can display HR but primary use is SpO₂.,Oxygen saturation in blood,Correct – % of hemoglobin bound to O₂.,Blood sugar,Incorrect – requires glucometer.,,,B,Pulse oximetry non-invasively monitors arterial oxygen saturation; normal = 95–100%.,,MED – Respiratory Assessment,Medicine: Respiratory Assessment,Easy,,GP-F-I5,GP-F-T3
,GP-S3-29,Safest way to lift a heavy object?,Bend knees and keep back straight,Correct – proper body mechanics reduce injury.,Twist at the waist,Incorrect – increases spinal strain.,Keep legs straight,Incorrect – stresses the back.,,,A,"Safe lifting = bend knees, straight back, use leg muscles; prevents musculoskeletal injury.",,FUND – Occupational Safety,Fundamentals: Occupational Safety,Easy,,GP-F-I5,GP-F-T3
,GP-S3-30,What should a nurse do if a client refuses medication?,Insist on administering,Incorrect – violates autonomy.,Respect decision and document refusal,"Correct – patients have right to refuse, nurse documents and informs provider.",Call police,Incorrect – not a legal violation requiring force.,,,B,"Autonomy includes treatment refusal; nurse ensures safety, documentation, and provider notification.",,FUND – Ethics/Legal,Fundamentals: Ethicsics/Legal,Moderate,,GP-F-I5,GP-F-T3
,GP-S3-31,Which infection is most commonly spread by contaminated food/water?,Influenza,Incorrect – spread by droplets.,Cholera,Correct – caused by Vibrio cholerae via ingestion of contaminated water/food.,Malaria,Incorrect – mosquito-borne.,,,B,"Cholera is water/food-borne and controlled through sanitation, clean water, and vaccination.",,PHN – Communicable Disease,Public/community health: Communicable Disease,Easy,,GP-F-I5,GP-F-T3
,GP-S3-32,A child with rickets likely has a deficiency of:,Vitamin C,"Incorrect – causes scurvy, not rickets.",Vitamin D,Correct – deficiency impairs calcium absorption → bone deformities.,Iron,Incorrect – deficiency causes anemia.,,,B,"Vitamin D deficiency results in rickets (bowed legs, delayed growth, soft bones).",,PEDS – Nutrition,Paediatrics: Nutritionition,Easy,,GP-F-I5,GP-F-T3
,GP-S3-33,Correct sequence of the nursing process?,Evaluation → Planning → Implementation,Incorrect – wrong order.,Assessment → Diagnosis → Planning → Implementation → Evaluation,Correct – standard 5-step logical sequence.,Implementation → Diagnosis → Evaluation,Incorrect – skips essential steps.,,,B,Nursing process = systematic framework for individualized care; begins with assessment and ends with evaluation.,,FUND – Process,Fundamentals: Process,Easy,,GP-F-I5,GP-F-T3
,GP-S3-34,Which is NOT a mode of HIV transmission?,Sexual intercourse,Incorrect – major route.,Sharing utensils,Correct – HIV is not transmitted through casual contact.,Blood transfusion,Incorrect – documented route if unscreened.,,,B,"HIV spreads via blood, sex, perinatal routes, not utensils or casual contact.",,PHN – HIV/AIDS Education,Public/community health: HIV/AIDS Education,Easy,,GP-F-I5,GP-F-T3
,GP-S3-35,The Apgar score assesses:,Newborn’s physical condition,"Correct – HR, respiration, tone, reflexes, color at 1 & 5 min.",Mother’s contraction pattern,"Incorrect – monitors labour, not newborn.",Amniotic fluid levels,Incorrect – not measured by Apgar.,,,A,Apgar measures newborn adaptation to extrauterine life; helps decide resuscitation needs.,,MID – Neonatal Health,Midwifery: Neonatal Health,Easy,,GP-F-I5,GP-F-T3
,GP-S3-36,Primary cause of postpartum hemorrhage?,Vaginal laceration,Incorrect – important but less common.,Uterine atony,Correct – most frequent cause; uterus fails to contract after delivery.,Retained placenta,"Incorrect – cause of secondary PPH, less common than atony.",,,B,"Uterine atony accounts for ~70–80% of PPH; requires massage, oxytocics, rapid intervention.",,MID – Obstetric Emergencies,Midwifery: Obstetric Emergencies,Hard,,GP-F-I5,GP-F-T3
,GP-S3-37,Intervention best preventing pressure ulcers?,Reposition patient regularly,Correct – relieves pressure on bony prominences.,Restrict movement,Incorrect – increases risk of ulcers.,Apply heavy blankets,Incorrect – causes overheating and immobility.,,,A,"Turning every 2 hrs, using support surfaces, and skin care are key prevention strategies.",,FUND – Skin Integrity,Fundamentals: Skin Integrity,Easy,,GP-F-I5,GP-F-T3
,GP-S3-38,Which fluid is isotonic?,Normal saline (0.9% NaCl),Correct – osmolarity similar to plasma.,Dextrose 5%,Incorrect – becomes hypotonic as glucose metabolizes.,Half-normal saline,Incorrect – hypotonic relative to plasma.,,,A,"Isotonic solutions (0.9% NS, RL) expand extracellular volume without fluid shifts.",,FUND – Fluid Balance,Fundamentals: Fluid Balance,Moderate,,GP-F-I5,GP-F-T3
,GP-S3-39,Most common cause of anemia globally?,Vitamin A deficiency,Incorrect – not linked to anemia.,Iron deficiency,"Correct – due to poor intake, chronic blood loss, or parasitic infections.",Protein deficiency,"Incorrect – causes kwashiorkor, not anemia.",,,B,"Iron deficiency anemia affects ~1.2 billion globally, especially women and children.",,MED – Haematology/Nutrition,Medicine: Haematology/Nutritionition,Moderate,,GP-F-I5,GP-F-T3
,GP-S3-40,Safest site for IM injections in children <1 year?,Deltoid,"Incorrect – small muscle bulk, not recommended.",Vastus lateralis,"Correct – thick muscle, avoids nerves/vessels.",Gluteus maximus,Incorrect – risk of sciatic injury.,,,B,Vastus lateralis (anterolateral thigh) is safest for infants <1 yr due to adequate mass and low nerve injury risk.,,PEDS – Procedures,Paediatrics: Procedures,Easy,,GP-F-I5,GP-F-T3
,GP-S3-41,Which of these is a sign of depression?,Excess energy,Incorrect – more typical of mania/hyperactivity.,Persistent sadness and loss of interest,Correct – hallmark symptoms of major depressive disorder.,Visual hallucinations,"Incorrect – psychotic symptom, not core depression.",,,B,"Depression is characterized by low mood, anhedonia, and impaired function; not primarily psychotic or energized states.",,MHN,Mental Health,Easy,,GP-F-I5,GP-F-T3
,GP-S3-42,Which of the following is an airborne disease?,Measles,Correct – highly contagious via airborne droplets.,Typhoid,Incorrect – spread by contaminated food/water.,Gonorrhea,"Incorrect – transmitted sexually, not airborne.",,,A,Airborne diseases like measles require airborne precautions; typhoid and gonorrhea spread differently.,,PHN – Infectious Diseases,Public/community health: Infectious Diseases,Easy,,GP-F-I5,GP-F-T3
,GP-S3-43,Best site for checking pulse during CPR?,Brachial,"Incorrect – used in infants, not adults.",Carotid,Correct – reliable central pulse in adults during low perfusion.,Radial,Incorrect – often absent during cardiac arrest.,,,B,"Central pulses (carotid in adults, brachial in infants) are preferred in resuscitation due to reliability.",,FUND – BLS,Fundamentals: BLS,Easy,,GP-F-I5,GP-F-T3
,GP-S3-44,A patient with difficulty swallowing is said to have:,Dysphasia,"Incorrect – difficulty with language, not swallowing.",Dysphagia,Correct – impaired swallowing.,Aphasia,Incorrect – inability to speak.,,,B,Dysphagia = swallowing difficulty; distinct from speech/language disorders.,,MED,Medicine,Easy,,GP-F-I5,GP-F-T3
,GP-S3-45,Which type of bed is prepared for a post-operative patient?,Recovery bed,Correct – arranged to safely receive a patient post-surgery.,Cardiac bed,Incorrect – designed for cardiac patients (upright).,Open bed,Incorrect – used for admission of mobile patients.,,,A,"A recovery bed has protective features (flat, equipment-ready) to receive unconscious or weak post-op patients.",,FUND – Ward Management,Fundamentals: Ward Management,Moderate,,GP-F-I5,GP-F-T3
,GP-S3-46,One major complication of prolonged immobility is:,Constipation,Incorrect – common but less life-threatening.,Deep vein thrombosis (DVT),Correct – immobility increases venous stasis and clot formation.,Insomnia,Incorrect – may occur but not the most serious complication.,,,B,"Immobility predisposes to VTE, pneumonia, contractures, and pressure sores; DVT is a serious preventable risk.",,FUND – Mobility,Fundamentals: Mobility,Moderate,,GP-F-I5,GP-F-T3
,GP-S3-47,"When documenting care, nurses must:",Use capital letters,"Incorrect – not required, may hinder readability.",Record facts accurately and promptly,"Correct – documentation must be timely, factual, clear.",Use only abbreviations,Incorrect – abbreviations can cause errors.,,,B,"Good documentation is accurate, objective, complete, and contemporaneous; it is a legal and professional duty.",,FUND – Documentation,Fundamentals: Documentation,Easy,,GP-F-I5,GP-F-T3
,GP-S3-48,Best time for breast self-examination?,During menstruation,Incorrect – breasts tender and engorged.,A week after menstruation ends,Correct – hormonal stability allows easier detection of lumps.,During ovulation,Incorrect – still hormonally active period.,,,B,BSE is most effective post-menses when breast tissue is less nodular and less tender.,,PHN – Health Education,Public/community health: Health Education,Easy,,GP-F-I5,GP-F-T3
,GP-S3-49,Function of alveoli is:,Gas exchange,Correct – site for O₂/CO₂ diffusion between lungs and blood.,Blood filtration,"Incorrect – renal function, not respiratory.",Mucus production,"Incorrect – goblet cells produce mucus, not alveoli.",,,A,Alveoli provide large surface area for efficient respiratory gas exchange.,,FUND – Anatomy/Physiology,Fundamentals: Anatomy/Physiology,Easy,,GP-F-I5,GP-F-T3
,GP-S3-50,Most accurate way to verify NG tube placement?,Air insufflation,"Incorrect – unreliable, outdated, unsafe.",pH testing of aspirate,Correct – gastric aspirate pH ≤5.5 suggests stomach placement; x-ray is gold standard.,Patient report,Incorrect – unreliable and unsafe.,,,B,"Objective methods (pH, x-ray) are essential; air “whoosh” is no longer recommended due to aspiration risks.",,FUND – Procedures,Fundamentals: Procedures,Hard,,GP-F-I5,GP-F-T3
,GP-S3-51,Appropriate first response to a patient expressing suicidal intent with a plan?,Promise confidentiality,Incorrect – unsafe; safety overrides secrecy.,"Ensure immediate safety, stay with patient, and notify team",Correct – suicide risk requires urgent intervention.,Advise journaling and discharge,Incorrect – unsafe and inadequate.,,,B,Suicidal intent with a plan is a psychiatric emergency; immediate safety and professional review are priorities.,,MHN – Crisis Intervention,Mental Health: Crisis Intervention,Hard,,GP-F-I5,GP-F-T3
,GP-S3-52,Which action best reduces surgical site infection risk before incision?,Shaving hair with razor the night before,Incorrect – increases infection risk due to micro-abrasions.,Clipping hair immediately before surgery + antisepsis,Correct – reduces skin contamination.,Leaving hair long,Incorrect – no role in infection prevention.,,,B,"SSI prevention relies on clippers instead of razors, antiseptic prep, and timely prophylaxis.",,SURG – Infection Prevention,Surgery: Infection Prevention,Moderate,,GP-F-I5,GP-F-T3
,GP-S3-53,Best site for pulse check during adult cardiac arrest?,Radial artery,Incorrect – often absent in low perfusion states.,Carotid artery,Correct – central pulse reliable in adults.,Dorsalis pedis,Incorrect – peripheral and unreliable in arrest.,,,B,Carotid is recommended in adults; brachial in infants. Radial/dorsalis are unreliable in cardiac arrest.,,FUND – BLS,Fundamentals: BLS,Easy,,GP-F-I5,GP-F-T3
,GP-S3-54,Pneumonia patient develops pleuritic pain + tachypnea. Which sign suggests hypoxemia?,"Warm, dry skin",Incorrect – not hypoxia specific.,Confusion and restlessness,Correct – early cerebral signs of low oxygen delivery.,Polyuria,Incorrect – unrelated to oxygenation.,,,B,Brain is highly oxygen-sensitive; altered mentation is an early red flag of hypoxemia.,,MED – Respiratory,Medicine: Respiratory,Moderate,,GP-F-I5,GP-F-T3
,GP-S3-55,Which maternal labor position is most effective for relieving back pain associated with a fetus in the occiput-posterior position?,Supine lithotomy,Incorrect- This position increases sacral pressure and can intensify back pain.,Hands-and-knees (all-fours),Correct- This position uses gravity to reduce pressure on the maternal spine and encourages the fetus to rotate into a more optimal position.,High Fowler’s,Incorrect- This position is not specifically recommended for managing the back pain associated with an occiput-posterior presentation.,,,B,"For patients experiencing ""back labor"" due to an occiput-posterior fetal position, the hands-and-knees position is highly beneficial. It helps to tilt the pelvis, reducing the direct pressure of the fetal head on the sacrum, and can encourage the baby to rotate anteriorly, thereby alleviating the source of the pain.",,MID – Intrapartum Care,Midwifery: Intrapartum Care,Moderate,,GP-F-I5,GP-F-T3
,GP-S3-56,What is the most appropriate de-escalation approach for an agitated psychotic patient?,Confront the patient's delusions directly,Incorrect- Confronting a patient's delusions can increase their agitation and is likely to escalate the situation.,"Maintain safe distance, use a calm voice, set clear limits, and offer choices",Correct- This strategy prioritizes safety for everyone and uses therapeutic communication to lower agitation and help the patient regain control.,Block the patient's exit and demand compliance,Incorrect- Blocking an exit and demanding compliance can be perceived as threatening and will likely escalate the patient's distress and aggression.,,,B,"A safe and calm environment, combined with non-threatening communication, is the foundation of de-escalation for agitated patients. This approach validates their feelings without validating their delusions, while setting clear boundaries and providing some sense of control through choices. This reduces the risk of harm and promotes a more therapeutic outcome.",,MHN – Behavioural Management,Mental Health: Behavioural Management,Moderate,,GP-F-I5,GP-F-T3
,GP-S3-57,Which patient statement indicates effective teaching regarding oral iron therapy?,"""I will take my iron supplement with a cup of black tea to help with stomach upset.""","Incorrect- Tannins in tea significantly inhibit iron absorption, reducing the medication's effectiveness.","""I will take my iron supplement with orange juice to improve its absorption.""","Correct- Vitamin C (ascorbic acid) enhances the absorption of iron, making this an effective strategy.","""I will stop taking the medication if my stools turn dark.""",Incorrect- Dark or black stools are a common and expected side effect of iron therapy and do not indicate a problem.,,,B,"Effective patient teaching for oral iron therapy emphasizes optimizing absorption and managing side effects. Taking iron with a source of vitamin C (like orange juice) and avoiding inhibitors (like tea or milk) are key for maximizing the therapeutic effect. It is also important to educate patients about normal side effects, such as dark stools, to prevent unnecessary discontinuation of the medication.",,MED – Hematology/Nutrition,Medicine: Hematology/Nutritionition,Easy,,GP-F-I5,GP-F-T3
,GP-S3-58,"During a measles outbreak in a community, what is the most effective immediate measure?",Conducting a mass measles vaccination campaign for contacts and susceptible individuals,"Correct- Rapid, widespread vaccination is the most effective way to interrupt transmission and raise herd immunity levels during an outbreak.",Implementing routine health talks in the community only,Incorrect- Health talks alone are not a sufficient or rapid enough response to control a highly contagious viral outbreak like measles.,Distributing antibiotics to the affected population,"Incorrect- Measles is a viral infection, and antibiotics are ineffective against viruses.",,,A,"Measles is highly contagious and vaccination is the primary preventive measure. During an outbreak, the most immediate and effective community-level response is a targeted vaccination campaign to quickly increase immunity among susceptible populations, thereby containing the spread and protecting the most vulnerable.",,PHN – Outbreak Response,Public/community health: Outbreak Response,Moderate,,GP-F-I5,GP-F-T3
,GP-S3-59,"A nurse observes a patient's surgical incision on postoperative day 2 and notes increasing pain, erythema, and purulent drainage. Which condition is the likely cause?",Normal postoperative healing process,"Incorrect- The presence of purulent drainage is a clear sign of infection, not a normal part of the healing process.",Surgical site infection,"Correct- The combination of increasing pain, redness (erythema), and purulent drainage is the classic presentation of a surgical site infection.",Wound dehiscence,"Incorrect- Dehiscence is the separation of wound edges; it does not, by itself, explain the signs of infection like purulent drainage and erythema.",,,B,"Surgical site infections (SSI) are common postoperative complications. Recognizing the signs—particularly increasing pain, erythema, and the presence of pus—is crucial for early intervention. Unlike normal wound inflammation, these findings indicate a bacterial infection that requires immediate medical attention, often involving antibiotics and wound care.",,SURG – Post-op Care,Surgery: Post-op Care,Moderate,,GP-F-I5,GP-F-T3
,GP-S3-60,"During oxygen therapy via nasal cannula, what is the most appropriate nursing intervention to prevent mucosal dryness?",Increase the oxygen flow rate to achieve 100% oxygen saturation,Incorrect- Increasing flow rates can exacerbate dryness and is potentially harmful in conditions like COPD.,Humidify the oxygen at flow rates greater than 4 L/min and assess mucous membranes regularly,"Correct- Oxygen, especially at higher flow rates, is dry and can irritate mucous membranes. Humidification and regular assessment prevent discomfort and potential complications like nosebleeds.",Intermittently switch the patient to room air,Incorrect- Switching to room air intermittently can cause hypoxemia (low oxygen levels in the blood) and does not prevent mucosal drying.,,,B,"Oxygen administered by nasal cannula is typically dry, and higher flow rates increase the risk of mucosal irritation and dryness. Humidification adds moisture to the oxygen, preventing discomfort and complications. Regular assessment of the patient's mucous membranes ensures the intervention is effective and adjusted as needed.",,MED – Resp Support,Medicine: Resp Support,Moderate,,GP-F-I5,GP-F-T3
,GP-S3-61,What is the typical incubation period for malaria after an infected mosquito bite?,2–4 hours,"Incorrect- The incubation period for malaria is significantly longer, as the parasite needs to complete part of its life cycle in the liver.",7–30 days,"Correct- The incubation period for malaria generally ranges from 7 to 30 days, though this can vary depending on the specific Plasmodium species involved.",1–2 months,"Incorrect- While some forms of malaria, particularly P. vivax and P. ovale, can have a dormant liver stage leading to relapses months or even years later, this is not the typical incubation period for initial symptom onset.",,,B,"The incubation period for malaria varies based on the Plasmodium species. For example, P. falciparum typically has an incubation period of 7–14 days, while P. malariae is longer at 18–40 days. A general range of 7 to 30 days covers the most common presentations.",,PHN – Infectious Diseases,Public/community health: Infectious Diseases,Moderate,,GP-F-I5,GP-F-T3
,GP-S3-62,In which clinical scenario is it mandatory for a nurse to employ aseptic technique?,Performing routine bed making for a patient,"Incorrect- This procedure requires clean, not aseptic, technique as it does not involve a sterile site.",Inserting a urinary catheter,"Correct- This is an invasive procedure that bypasses the body's natural defenses, requiring strict aseptic precautions to prevent infection.",Assisting a patient with feeding,"Incorrect- Standard hygiene is sufficient for this non-invasive task, as it poses no risk to a sterile body site.",,,B,"Aseptic technique is essential for any procedure that involves a break in the patient's skin or mucous membranes. It is crucial for preventing healthcare-associated infections during invasive procedures like catheterization, IV insertion, and wound care by maintaining a sterile environment.",,FUND – Infection Prevention,Fundamentals: Infection Prevention,Easy,,GP-F-I5,GP-F-T3
,GP-S3-63,What is the primary physiological function of leukocytes?,Oxygen transport,"Incorrect- Oxygen transport is the main function of red blood cells, which contain hemoglobin.",Fighting infection,"Correct- Leukocytes, or white blood cells, are integral components of the immune system and are primarily responsible for defending the body against pathogens.",Blood clotting,"Incorrect- Blood clotting is a function of platelets, or thrombocytes.",,,B,"The primary role of white blood cells is to serve as the body's defense mechanism against invading pathogens and foreign substances. They do this through various mechanisms, including phagocytosis (engulfing pathogens), antibody production, and mediating inflammatory responses.",,MED – Hematology,Medicine: Hematology,Easy,,GP-F-I5,GP-F-T3
,GP-S3-64,Which of the following is a psychological need within Maslow's hierarchy of needs?,Oxygen,"Incorrect- Oxygen is a physiological need, which is at the most basic level of the hierarchy.",Self-esteem,"Correct- Self-esteem is a psychological need that relates to feeling respected, competent, and valued, and is found in the higher tiers of the hierarchy.",Food,"Incorrect- Food is a physiological need, essential for immediate survival.",,,B,"Maslow's hierarchy distinguishes between basic physiological needs (like food and oxygen) and higher-level psychological needs (such as belonging, esteem, and self-actualization). Psychological needs become motivating after the more fundamental physiological and safety needs have been sufficiently met.",,FUND – Theories,Fundamentals: Theories,Moderate,,GP-F-I5,GP-F-T3
,GP-S3-65,What does a diuretic medication do?,Increase appetite,Incorrect- A diuretic's primary action is not related to appetite.,Increase urine output,Correct- Diuretics increase urine production to help the body get rid of excess fluid and salt.,Decrease heart rate,"Incorrect- This is the function of other medications, such as beta-blockers.",,,B,"Diuretics, also known as water pills, are used to treat conditions like high blood pressure and fluid retention by increasing urine output.",,PHARM – Cardiovascular,PHARM: Cardiovascular,Easy,,GP-F-I5,GP-F-T3
,GP-S3-66,What is the recommended disposal method for soiled dressings in a healthcare setting?,Black plastic bag,Incorrect- Black bags are for general domestic and non-infectious waste only.,"Infectious waste bin (e.g., yellow or orange bag)","Correct- Soiled dressings must be disposed of in a designated, color-coded infectious or clinical waste bin to ensure proper segregation and containment.",Recycle bin,"Incorrect- Medical waste, especially if soiled, should never be placed in a recycling bin due to the risk of contamination.",,,B,Contaminated dressings must go in infectious waste bins to prevent cross-contamination.,,FUND – Waste Mgmt,Fundamentals: Waste Mgmt,Easy,,GP-F-I5,GP-F-T3
